Day;Day1;
A voice;Wake up!;
Teller;I tried to catch that voice, but when I woke up all I found was noting;
Teller;I looked around, a newspaper?
Player;Read it?:line,5;No time for this.:line,7
Newspaper;Bloodsheds happened in 12 local Asylums, the identity of the killer is still unknown;
Teller;No way...isn't the last hospital in the list the one I'm in right now?;
Teller;I suddenly heard someone knocking;
Pete;Want to walk around the asylum?;
Player;Good idea.:line,10;Better stay here.:line,11
Teller;Pete showed me the cafe;
